uid,formula,E_true_Npm,E_pred_Npm,nn_dist_z,gp_sigma,seeds
1O2C3Cr4-1,Cr4C3O2,340.9599091448482,338.30035400390625,1.2419808407652908,46.96532396528537,681998
1Cl2N3Sc4-1,Sc4Cl2N3,338.35300534771625,322.5684814453125,1.4461196091245294,51.56336162462654,6898
1C2H2O2W3-1,W3C2H2O2,333.3472142306905,343.6238708496094,1.2538300798216784,48.781401351797086,"6898, 13579, 681998"
2C-1,C2,331.2021053075514,329.0389099121094,1.010502067234022,42.47107805668944,"6, 68, 6898, 13579, 681998"
1C2O2Zr3-1,Zr3C2O2,329.24496342452574,331.2818603515625,1.3414823679971997,40.08407710066993,6
1C2O2Ti3-1,Ti3C2O2,328.7826347322249,331.328369140625,1.0830577541790682,39.76419524213527,"6, 6898, 13579"
1C2S2Ta3-1,Ta3C2S2,317.59792390544305,341.268310546875,0.973266101638752,39.990941789323614,"6, 68, 6898, 13579, 681998"
1C2F2Hf3-1,Hf3C2F2,306.76859406352503,325.2496337890625,1.4645033195853745,42.70557219543832,"68, 13579"
1C2S2Nb3-1,Nb3C2S2,304.94267888755854,321.13922119140625,1.4732227776026707,46.28856820087319,13579
1B3N3C10-1,B3C10N3,293.6601877232781,311.20269775390625,1.2668163210018208,41.74593944929688,"6, 68, 13579, 681998"
1B2S2Ta3-1,Ta3B2S2,281.4259839390983,300.1058349609375,1.4261120162027705,45.02685578650619,6898
