Feature,Mean,Std,Min,P1,P99,Max,Pearson_r
Max GS volume,32.470183374082595,13.979901402652692,5.64,10.73,90.7225,115.765,-0.27312016140231443
Max d-valence,8.455641919056553,3.020408059392571,0.0,0.0,10.0,10.0,-0.3817232838908331
Mean Mendeleev #,77.41207864261006,9.15985216691045,4.333333333333333,47.0,90.33333333333331,93.5,-0.31497467983149025
Min electronegativity,1.6684990619136961,0.40292993364232843,0.79,0.82,2.54,2.55,-0.03819449347912743
Mean unfilled e−,2.5581389700690513,1.1056194945180682,0.2857142857142857,0.6666666666666666,5.333333333333333,7.333333333333333,0.5151538723766763
Mean melting T,835.3632903525515,449.41033535727456,60.60600000000001,151.28648333333334,2286.2877142857146,3823.0,0.5213084311656314
Mean column,13.074349022127562,2.2144330521692943,1.6666666666666667,6.0,16.0,16.5,-0.35244023171954664
Range(space-group #),156.88488340927364,56.56545807545501,0.0,0.0,227.0,227.0,0.009623098371735453
